    position.x="11252"      21.9765625
    position.y="-8363.98"  -16.3358984375
version 24
seed 0
frames_played 107
header_unk_1 1071924284
a:0.0 b:428 count:82 (-512.0,194.0) b'data/weather_gfx/limit_y/background_cave_04_alt.png'
a:101.0 b:0 count:0 (0.0,-512.0) b'data/biome_impl/mountain/left_entrance_background.png'
a:50.0 b:0 count:0 (-512.0,0.0) b'data/biome_impl/mountain/left_stub_background.png'
a:50.0 b:0 count:0 (0.0,0.0) b'data/biome_impl/mountain/left_entrance_below_background.png'
a:50.0 b:0 count:0 (1024.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (512.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (0.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-512.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1024.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1536.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-2048.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-2560.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-3072.0,12770.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (2047.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (1535.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (1023.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (511.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-513.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1025.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1537.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-2049.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-2561.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-3073.0,10210.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (1535.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (1023.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (511.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-513.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1025.0,8162.0) b'data/biome_impl/temple/wall_background.png'
a:35.0 b:0 count:0 (-1537.0,8162.0) b'data/biome_impl/temple/wall_background.png'
